Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Bayern Munich,77,34,24,5,5,97,37,60
2,Dortmund,69,34,22,3,9,85,52,33
3,Leverkusen,64,34,19,7,8,80,47,33
4,RB Leipzig,58,34,17,7,10,72,37,35
5,Union Berlin,57,34,16,9,9,50,44,6
6,Freiburg,55,34,15,10,9,58,46,12
7,FC Koln,52,34,14,10,10,52,49,3
8,Mainz,46,34,13,7,14,50,45,5
9,Hoffenheim,46,34,13,7,14,58,60,-2
10,M'gladbach,45,34,12,9,13,54,61,-7
11,Ein Frankfurt,42,34,10,12,12,45,49,-4
12,Wolfsburg,42,34,12,6,16,43,54,-11
13,Bochum,42,34,12,6,16,38,52,-14
14,Augsburg,38,34,10,8,16,39,56,-17
15,Stuttgart,33,34,7,12,15,41,59,-18
16,Hertha,33,34,9,6,19,37,71,-34
17,Bielefeld,28,34,5,13,16,27,53,-26
18,Greuther Furth,18,34,3,9,22,28,82,-54
